book_id,isbn,title,author,category_id,category,genre,academic_level,language,publication_year,demand_tier,base_total_copies,popularity_score
1,978-2-010001-754-1,Python pour la Data Analyse,Nadia Lefèvre,1,Data Science & IA,Machine Learning,Master,French,2024,top,34,6.27
2,978-2-010002-125-4,Machine Learning Appliqué,Karim Benali,1,Data Science & IA,Machine Learning,Master,French,2023,top,34,6.27
3,978-2-010003-350-3,Deep Learning Pratique,Claire Martin,1,Data Science & IA,Machine Learning,Doctorate,French,2022,high,24,3.63
4,978-2-010004-242-1,IA Générative et Applications,Thomas Bernard,1,Data Science & IA,Machine Learning,Master,French,2025,top,34,6.27
5,978-2-010005-792-8,Fondamentaux de la Science des Données,Sophie Durand,1,Data Science & IA,Machine Learning,Undergraduate,French,2021,high,24,3.63
6,978-2-010006-189-9,NLP pour Analystes,Mehdi Amrani,1,Data Science & IA,Machine Learning,Master,French,2020,medium,16,1.65
7,978-2-010007-532-0,Computer Vision Essentials,Emma Collins,1,Data Science & IA,Machine Learning,Master,English,2022,medium,16,1.65
8,978-2-010008-130-1,Éthique de l’Intelligence Artificielle,Luc Moreau,1,Data Science & IA,Machine Learning,Doctorate,French,2021,medium,16,1.65
9,978-2-020009-323-3,Power BI Avancé,Raphaël Dubois,2,Business Intelligence,Power BI / Reporting,Master,French,2024,top,34,5.51
10,978-2-020010-617-9,Tableaux de Bord Décisionnels,Julie Mercier,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2022,high,24,3.19
11,978-2-020011-127-8,DAX Patterns pour BI,Marco Ricci,2,Business Intelligence,Power BI / Reporting,Master,English,2023,top,34,5.51
12,978-2-020012-303-8,Modélisation en Étoile,Anne Petit,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2021,high,24,3.19
13,978-2-020013-529-3,Storytelling avec les Données,Laura Simon,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2020,medium,16,1.45
14,978-2-020014-559-9,Self-Service BI Governance,Peter Novak,2,Business Intelligence,Power BI / Reporting,Master,English,2022,medium,16,1.45
15,978-2-020015-384-0,Power Query en Pratique,Mina Haddad,2,Business Intelligence,Power BI / Reporting,Master,French,2023,high,24,3.19
16,978-2-020016-877-2,KPI et Pilotage Opérationnel,Marc Fontaine,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2019,medium,16,1.45
17,978-2-030017-814-6,SQL pour l’Entrepôt de Données,Samuel Laurent,3,Data Engineering,ETL / Data Warehouse,Undergraduate,French,2023,top,34,5.89
18,978-2-030018-448-4,Data Warehouse & OLAP,Élodie Garnier,3,Data Engineering,ETL / Data Warehouse,Master,French,2022,top,34,5.89
19,978-2-030019-259-3,ETL Moderne avec Python,Nora Fischer,3,Data Engineering,ETL / Data Warehouse,Master,French,2024,top,34,5.89
20,978-2-030020-881-5,Architecture Lakehouse,Victor Nguyen,3,Data Engineering,ETL / Data Warehouse,Master,French,2025,high,24,3.41
21,978-2-030021-204-1,Qualité des Données,Hugo Robert,3,Data Engineering,ETL / Data Warehouse,Master,French,2021,medium,16,1.55
22,978-2-030022-489-1,Pipelines Cloud Analytics,Oliver Smith,3,Data Engineering,ETL / Data Warehouse,Master,English,2022,medium,16,1.55
23,978-2-030023-467-5,DataOps et Industrialisation,Inès Caron,3,Data Engineering,ETL / Data Warehouse,Doctorate,French,2023,medium,16,1.55
24,978-2-030024-718-4,Bases NoSQL pour Analytics,Yann Muller,3,Data Engineering,ETL / Data Warehouse,Undergraduate,French,2020,medium,16,1.55
25,978-2-040025-926-0,Statistiques pour Data Science,Mathieu Perrin,4,Statistiques,Analyse quantitative,Undergraduate,French,2023,top,34,4.37
26,978-2-040026-847-7,Probabilités Appliquées,Sarah Cohen,4,Statistiques,Analyse quantitative,Undergraduate,French,2021,high,24,2.53
27,978-2-040027-649-1,Économétrie avec R,Alice Fournier,4,Statistiques,Analyse quantitative,Master,French,2020,medium,16,1.15
28,978-2-040028-487-1,Méthodes Bayésiennes,David Klein,4,Statistiques,Analyse quantitative,Doctorate,English,2022,medium,16,1.15
29,978-2-040029-665-4,Analyse Multivariée,Camille Roy,4,Statistiques,Analyse quantitative,Master,French,2019,medium,16,1.15
30,978-2-040030-949-9,Tests Statistiques Pratiques,Olivier Faure,4,Statistiques,Analyse quantitative,Undergraduate,French,2021,medium,16,1.15
31,978-2-040031-982-5,Time Series Forecasting,Grace Lee,4,Statistiques,Analyse quantitative,Master,English,2023,medium,16,1.15
32,978-2-040032-691-3,Plans d’Expérience,Martin Vidal,4,Statistiques,Analyse quantitative,Doctorate,French,2018,low,12,0.402
33,978-2-050033-821-1,Code Civil Commenté,Jean Marchand,5,Droit,Droit public / privé,Undergraduate,French,2024,high,24,1.87
34,978-2-050034-146-3,Droit Administratif,Pauline Chevalier,5,Droit,Droit public / privé,Undergraduate,French,2022,medium,16,0.85
35,978-2-050035-891-4,Droit Européen des Données,Antoine Weber,5,Droit,Droit public / privé,Master,French,2023,high,24,1.87
36,978-2-050036-181-3,Propriété Intellectuelle Numérique,Mélanie Blanc,5,Droit,Droit public / privé,Master,French,2021,medium,16,0.85
37,978-2-050037-987-1,Institutions Juridiques,Michel André,5,Droit,Droit public / privé,Undergraduate,French,2019,medium,16,0.85
38,978-2-050038-489-4,Contrats et Responsabilité,Carole Meunier,5,Droit,Droit public / privé,Master,French,2020,medium,16,0.85
39,978-2-050039-564-5,Droit de la Santé,Hélène Roche,5,Droit,Droit public / privé,Master,French,2021,medium,16,0.85
40,978-2-050040-266-5,Legal Tech et Compliance,Eva Romano,5,Droit,Droit public / privé,Master,French,2024,high,24,1.87
41,978-2-060041-463-3,Santé Publique et Données,Dr. Anaïs Leroux,6,Santé,Médecine / Santé publique,Master,French,2023,high,24,1.65
42,978-2-060042-786-4,Épidémiologie Pratique,Dr. Malik Saïd,6,Santé,Médecine / Santé publique,Master,French,2022,high,24,1.65
43,978-2-060043-818-1,Anatomie Fonctionnelle,Dr. Chloé Renard,6,Santé,Médecine / Santé publique,Undergraduate,French,2020,medium,16,0.75
44,978-2-060044-723-2,Biostatistique Médicale,Dr. Henry Wilson,6,Santé,Médecine / Santé publique,Master,English,2021,medium,16,0.75
45,978-2-060045-646-3,Gestion Hospitalière,Dr. Laura Petit,6,Santé,Médecine / Santé publique,Master,French,2019,low,12,0.262
46,978-2-060046-267-7,Santé Numérique,Dr. Sofia Garcia,6,Santé,Médecine / Santé publique,Master,French,2024,medium,16,0.75
47,978-2-060047-488-4,Recherche Clinique,Dr. Bernard Masson,6,Santé,Médecine / Santé publique,Doctorate,French,2022,medium,16,0.75
48,978-2-060048-755-8,Prévention et Politiques de Santé,Dr. Inès Morel,6,Santé,Médecine / Santé publique,Undergraduate,French,2020,low,12,0.262
49,978-2-070049-324-5,Finance d’Entreprise,Alexandre Noël,7,Économie-Gestion,Finance / Management,Undergraduate,French,2021,medium,16,0.65
50,978-2-070050-963-0,Contrôle de Gestion,Béatrice Collet,7,Économie-Gestion,Finance / Management,Undergraduate,French,2020,medium,16,0.65
51,978-2-070051-334-0,Marketing Analytics,Camila Rossi,7,Économie-Gestion,Finance / Management,Master,French,2023,high,24,1.43
52,978-2-070052-924-5,Management des SI,Pierre Klein,7,Économie-Gestion,Finance / Management,Master,French,2022,medium,16,0.65
53,978-2-070053-510-4,Comptabilité Avancée,Nicolas Girard,7,Économie-Gestion,Finance / Management,Undergraduate,French,2019,low,12,0.227
54,978-2-070054-167-3,Stratégie d’Entreprise,Isabelle Martel,7,Économie-Gestion,Finance / Management,Master,French,2021,medium,16,0.65
55,978-2-070055-680-5,Économie Numérique,Lina Hoffmann,7,Économie-Gestion,Finance / Management,Master,French,2024,medium,16,0.65
56,978-2-070056-317-7,Supply Chain Analytics,Adam Schmidt,7,Économie-Gestion,Finance / Management,Master,English,2023,medium,16,0.65
57,978-2-080057-505-7,Sociologie des Organisations,Claire Aubry,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2019,low,17,0.122
58,978-2-080058-246-4,Psychologie Cognitive,Manon Lerat,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,0.122
59,978-2-080059-242-3,Méthodes Qualitatives,Nelly Bernard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2018,low,17,0.122
60,978-2-080060-862-8,Éducation et Inégalités,Omar Haddadi,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2021,low,17,0.122
61,978-2-080061-651-4,Anthropologie Contemporaine,Éric Denis,8,Sciences Humaines,Sociologie / Psychologie,Doctorate,French,2017,low,17,0.122
62,978-2-080062-864-9,Communication Interculturelle,Sonia Alvarez,8,Sciences Humaines,Sociologie / Psychologie,Undergraduate,French,2020,low,17,0.122
63,978-2-080063-538-9,Urbanisme et Territoires,Florian Adam,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2022,medium,16,0.35
64,978-2-080064-508-5,Travail et Numérique,Maëlle Picard,8,Sciences Humaines,Sociologie / Psychologie,Master,French,2023,medium,16,0.35
65,978-2-090065-324-2,Romans Français du XXe Siècle,Henri Valois,9,Littérature,Romans / essais,Undergraduate,French,2015,low,17,7.0
66,978-2-090066-621-7,Littérature Comparée,Marina Vasseur,9,Littérature,Romans / essais,Master,French,2017,low,17,7.0
67,978-2-090067-193-0,Poésie Moderne,Léa Tessier,9,Littérature,Romans / essais,Undergraduate,French,2016,low,17,7.0
68,978-2-090068-981-1,Théâtre Classique,Arthur Delmas,9,Littérature,Romans / essais,Undergraduate,French,2014,low,17,7.0
69,978-2-090069-256-2,Essais Contemporains,Louise Perrier,9,Littérature,Romans / essais,Master,French,2019,low,17,7.0
70,978-2-090070-911-6,World Literature Anthology,Olivia Green,9,Littérature,Romans / essais,Undergraduate,English,2020,low,17,7.0
71,978-2-090071-710-1,Narratologie,Benoît Charrier,9,Littérature,Romans / essais,Doctorate,French,2018,low,17,7.0
72,978-2-090072-494-6,Écriture Créative,Amélie Meyer,9,Littérature,Romans / essais,Undergraduate,French,2021,low,17,7.0
